"SYMBOL","log2FC","pVal","pAdj","sdSF","sdGC","sTat"
"ANAC001",-0.56306467839319,0.265533649457765,0.660400229753001,158.31662,77.13601,-1.11340704779567
"ARV1",0.0427803327415806,0.83480469774877,0.961627736502871,72.85568,33.7903,0.208543401810334
"NGA3",1.08409486624832,0.0224685916762551,0.2360326376797,73.25557,34.69015,2.28235157824239
"ASU1",0.347950318429171,0.300739600716096,0.691118481819331,15.683419,19.01419,1.03484864579105
"ATPPA1",-0.255280749997523,0.18100150136164,0.574688857602917,511.3856,554.9935,-1.33767776763255
"LHY",-0.0989078287597382,0.901562697084476,0.980545109235474,64.739542,62.145105,-0.123687515314837
"UMAMIT28",-1.18695786755325,0.0706343853596198,0.398259707431438,229.1835,178.883,-1.80782086452125
"PDH-E1",-0.307223791432539,0.295608989511657,0.686180046973658,133.5665,558.9812,-1.04589613392361
"RPP1.1",0.238427245727236,0.241010787417336,0.637862366908867,3090.93522,2099.5842,1.17246407480884
"IQD18",0.0915087339085601,0.765120649067628,0.94031835217241,130.27927,51.19967,0.298763307797282
"KCS1",-0.589101666299349,0.504616974938495,0.825515414035336,52.207844,61.199027,-0.667242927718777
"CIPK9",-1.05702647926378,0.185894417167803,0.580286521591689,5.117326,22.288877,-1.32282248726133
"GIF2",0.432647283711907,0.026243220787632,0.251666063355555,169.81462,111.18465,2.22259353149604
"CYP78A8",6.52033208779965,0.0068337229032425,0.131664306027409,18.6424944,0.4028304,2.704840325557
"ATRAB-A3",0.625081693156572,0.421897793494918,0.776920832333923,49.834698,8.504024,0.803133125075174
"ATFKGP",-0.0219408935873961,0.951785153249482,0.9930622672918,15.897499,19.253073,-0.0604651726835348
"ATORM1",-0.0138143861111979,0.940389742210584,0.989507496240828,61.16256,48.54625,-0.0747800160021551
"BHLH013",-0.23358421811616,0.51516462882238,0.830410524439002,84.711505,28.800911,-0.65081699398214
"CNX3",0.091303015181943,0.723058727471914,0.924751065816356,39.96883,61.96181,0.354373852485253
"REC1",0.477624021681844,0.219633166853529,0.613753180648044,81.23772,29.15809,1.22750413969398
"ACBK1",-0.646144999303951,0.537679358851259,0.842043349037771,56.711626,26.665065,-0.616326035447151
"PYL9",0.932355985483506,0.00213803860236274,0.0759318957213425,197.96969,122.37991,3.07035585760514
"CENH3",0.501940453406147,0.136410690672935,0.514847020280653,70.14219,100.52079,1.4892912506786
"ETC1",-0.77097757725369,0.389155250882558,0.757831781983974,12.023707,18.024617,-0.861150332606266
"MOAT3",-0.545040289692204,0.110673487243316,0.47365500647141,46.57493,38.31298,-1.59517330190431
"ATLEA14",0.859498909139206,0.219512429728788,0.613753180648044,21.9723,20.34107,1.22782563648059
"ACS2",-0.307668367431157,0.821835229202287,0.958271745233665,18.642259,10.631216,-0.225185165655302
"AN",0.43545212282646,0.166538084986474,0.559046840350502,331.03483,58.85517,1.38341359296528
"ASG4",-2.43755061709074,0.15355079116416,0.539775172329313,1.078148,1.9923905,-1.42710097622734
"BPS1",-0.24359463492338,0.368051433357976,0.741536006922665,347.25729,490.63542,-0.90012932197605
"ATMPK11",0.970466769430652,0.492650548530989,0.818624597682426,17.9038734,8.889756,0.686099210857225
"ATFRO2",-0.0474707140265178,0.970092690534592,0.998205691464526,439.24012,231.71472,-0.0374920353739625
"CYP86A4",-0.689095996973003,0.710974652989906,0.919524899676069,13.006238,12.1832257,-0.37054741722371
"ATGPAT4",-2.12551939715721,0.0756834538079026,0.408648153472736,43.463569,104.977947,-1.77630017860927
"PIP1;3",0.255784314011097,0.445732378535554,0.793550575404211,4688.5484,4915.3384,0.762549052547909
"ATSPPL4",0.568540266212265,0.0545413016588802,0.354723813144333,132.2937,52.5483,1.9225125048315
"ATPRD3",-0.485776351280496,0.117910279167458,0.486710625519528,32.890671,5.002067,-1.56360534374212
"ATROPGEF2",-0.499501443155174,0.459148338138162,0.800105691376674,16.224146,6.804294,-0.740249959750542
"ANAC002",0.573953986781855,0.0789223155102402,0.416775233304826,568.5471,268.5367,1.75697356282629
"BSK4",0.0156685536194195,0.982568119645737,1,32.192723,28.065724,0.0218493604244419
"ADF11",0.147445016875582,0.886552190707559,0.976897765844592,290.360351,151.380859,0.142668252887591
"ATTAD1",0.452165047471158,0.217275679263408,0.611801809505842,71.506179,8.834414,1.2338047224969
"PLIM2B",0.621578655259938,0.0517969409291904,0.345885191084919,76.160146,48.928538,1.94481755143127
"ATKEA1",0.298875249228448,0.457383740327703,0.798543618604652,49.986062,18.28043,0.743161779138224
"PEX11C",0.556874252766683,0.0643901441400335,0.383953812565372,354.34717,145.11621,1.84946883328295
"PFC1",0.507810098054059,0.254483471928312,0.650146643832399,43.404873,11.923611,1.13952685965366
"ATGEN1",-1.69008792202408,0.117037501081107,0.485425662481818,4.784205,10.243872,-1.56733032317581
"ATSBT1.1",-2.26608614548385,0.0759647732854276,0.40950493537898,4.18361,31.912448,-1.77459506133185
"ATGET3A",-0.423515584908768,0.0752084418548924,0.407748484736097,192.16388,76.99129,-1.7791910704273
"ARK2",0.220872812493627,0.53236163666095,0.840017186810055,114.872564,9.363359,0.624405008507479
"BIG3",0.435140887010692,0.0310410167646178,0.27384122584349,158.49107,69.89498,2.15654650203191
"GAE2",-0.677236064430606,0.0466522538182102,0.327230911645967,57.555137,21.039915,-1.98944366734125
"SEC1A",0.420921604876551,0.289196644792017,0.682046267622645,32.748984,12.597429,1.05988560602934
"LAP6",0.931000282161604,0.0297247857172925,0.267928351874446,19.968284,10.244477,2.17373841778483
"NOT1",0.474451746689462,0.0454242015185073,0.323442942821953,92.81464,36.73293,2.00070489581608
"ATCSN7",-0.288418425063527,0.190895100652525,0.586313721333138,160.23293,245.86412,-1.30793575555829
"LCMT1",-0.0239282323186677,0.904850867755541,0.981191283953471,198.87876,224.18291,-0.119535814264835
"VAD1",0.873160639622502,0.000190786347114705,0.0192521401494043,109.88549,14.16681,3.73091400053086
"ARA-5",-0.112155894364864,0.451397282652543,0.795179408319973,348.66293,166.31736,-0.753087587747661
"HAP1",0.0874705945155278,0.632531168931579,0.886524240012425,884.0407,625.4394,0.478167251755972
"ALG12",-0.144928608128354,0.494889209202792,0.819744356504545,24.23105,63.46463,-0.682553209519648
"ATMC1",-0.0473113831154856,0.83769402533921,0.962963489977231,70.54872,50.84475,-0.204843978865173
"ANAC003",-0.696075037995759,0.359260362103124,0.736045137132688,207.553106,26.637467,-0.916775369098514
"ANAC004",2.16236664555444,0.0229461559737856,0.23772082743655,113.681596,25.458352,2.2743299457256
"ATTOC33",-0.173110568627044,0.51755018129648,0.831558056073646,55.74312,28.08722,-0.647126336818796
"ATCATHB1",2.22941708019545,0.0266681425360103,0.253639287853256,30.203391,13.305526,2.21634121260677
"ATCATHB2",0.706137370568388,0.0832155068186917,0.424607826037005,410.86335,360.49395,1.73232615977045
"MAN1",-1.86546176604732,0.297874102073623,0.688465708441767,1.8867878,4.969012,-1.04100311598775
"CSU2",0.124174531740624,0.523031784589463,0.834704556744224,88.94714,72.48422,0.638678987994647
"GL22",-0.811825503016478,0.434310076730521,0.785889117546332,234.9274,154.3964,-0.781837504721438
"FBI1",1.89245645511338,0.205494733528396,0.601219965261342,18.6809541,7.5919452,1.2660512523737
"ATGPAT2",-0.851896257669992,0.382502992639063,0.751981720077191,20.939069,30.230998,-0.873293738381588
"ATGA2OX4",0.164927822711938,0.911222549800198,0.98256147224112,42.5910438,9.5719035,0.11149661487817
"COX11",-0.0964247243565565,0.662942353464197,0.898760685234666,172.54901,21.69415,-0.435854424881624
"ARFD1B",-0.287049343253951,0.734306079651672,0.92881024891203,198.33686,59.00989,-0.339403105217009
"ARFD1A",0.0527180748419315,0.934928521858357,0.987961769508098,77.04954,11.14997,0.0816456212502984
"NIMIN-1",3.22691307300831,3.66375826960787e-05,0.00692025055299593,176.564032,9.975932,4.12772127000936
"ATSAM1",-0.0659828392655682,0.836005892631457,0.962068468618749,8126.214,13751.514,-0.207005078119166
"ATKCO4",1.69135260782834,0.486780483189714,0.816123096854657,1.2624246,0.4010527,0.695438590728857
"ABCB11",0.0864704557418038,0.827670299629766,0.959878919858449,159.03023,250.42382,0.217690456947271
"ABCB12",-0.494800924184716,0.579998186896967,0.863139163877107,5.163702,6.528177,-0.553387367938419
"CLPP5",-0.0926740895364311,0.639017427521566,0.890206481139332,114.15598,177.35577,-0.469073041972595
"EMB173",-0.991159892300247,0.608386791970076,0.876365190395526,3.1700973,2.6614578,-0.51237756133167
"ATBXL2",0.432392634645676,0.396846177260142,0.762260690701228,66.59208,32.22325,0.847267248972276
"PLIP2",-0.608567050091311,0.481759946196175,0.812778886277453,7.940511,13.763081,-0.703474735302466
"TAF13",0.219616260458508,0.385934968182023,0.755119165686823,208.25281,24.56759,0.867012851550876
"IMPA-6",-0.849064939325021,0.0319791073932529,0.277414913411225,132.98691,157.24585,-2.14467167172082
"ATGATL5",-0.262447072126589,0.399755963942838,0.763734978525308,94.687052,53.79855,-0.842057151488065
"ATCSLD5",-1.47496623614653,0.002296282116023,0.0783513680072043,56.71562,70.37506,-3.04896895269163
"MRG2",0.685788592449592,0.0338397259589887,0.283379327268969,48.69886,14.94153,2.12197632795177
"EMB2386",-0.0448145916768364,0.834881258508595,0.961652850450778,2319.078,7018.648,-0.20844533872731
"AT-SR34",0.621645679321518,0.00945354396597897,0.156486480907891,693.72127,202.2136,2.59520164142924
"BGLU11",0.80712986828132,0.0148512633993653,0.194057119958971,562.1626,334.3696,2.43598590036428
"BAH1",-0.748479921846054,0.249354071051607,0.646377327912848,58.85095,52.76112,-1.15191970272696
"TPK1",0.0481665582396461,0.908056163529546,0.981708449687899,138.95041,48.25898,0.115490735262522
"ATRALF1",-1.05691779749287,0.215963083690556,0.609851215985196,878.97424,479.64719,-1.23733407164646
"LPA1",0.0580624259698311,0.857854069477932,0.96918039197894,65.91925,49.43484,0.179106511204547
"ATGST11",1.23353431540926,0.342919066659307,0.725093487143757,651.72156,126.82831,0.948413348294719
"ATGST1",-1.823305417477,0.1223923428278,0.495765562299519,306.81371,526.16895,-1.54480952441452
"ATGSTF4",-1.41771738627525,0.0823898488802083,0.42284261355187,122.46703,24.14968,-1.73698482822538
"ATWEE1",0.574744126736605,0.24384054851327,0.640721252490152,54.403755,38.199936,1.16544095259569
"ATCUL2",-2.08898215824723,0.417078112220201,0.774127282058424,3.6660577,3.0359837,-0.811500837352036
"PEX6",0.280984889515589,0.4833590232556,0.813740262372451,98.06118,37.980674,0.700910256486934
"BCHA1",0.586041513879128,0.0216277906039762,0.231898586024894,162.423352,41.717868,2.29684189568671
"ATLFG4",-0.589066028952552,0.521481901326009,0.833546304179307,18.009717,3.917094,-0.641062770413294
"NET1D",-0.187176245358694,0.556805684027005,0.851592267610707,36.1607,169.18015,-0.58759274179716
"MCCA",1.24515153690068,0.00681675797039804,0.13157711210198,109.06868,43.71958,2.70566594742286
"ATTRM82",-0.613609460669772,0.132122633859216,0.508949507109136,259.60826,288.35964,-1.50578399270147
"RAB28",1.20783559504457,0.364223509736759,0.739173863054598,1.5350426,0.9581717,0.907346654635354
"PSAD-2",0.104391501100959,0.896871061700194,0.979789230863781,6.078384,3.793087,0.129614966355301
"PRP18A",0.224599213097038,0.270714602387191,0.665954456252926,133.55851,124.01248,1.10141839660399
"FZL",0.714777149005006,0.0771791764398459,0.412294138831102,75.05487,10.85942,1.76729297076805
"ATXPD",-0.675071772429207,0.217217619161377,0.611719746187292,11.83418,39.30551,-1.23396051160545
"SAP2",0.156054772885605,0.61603769504333,0.879663884913968,1746.39354,363.38639,0.501473824574941
"SAP1",-0.00158245917709732,0.996285884456686,1,172.83105,379.34803,-0.00465497032923474
"ATBE2",0.0771142091469382,0.871530257019445,0.973814112250904,16.920966,6.99779,0.161715044082145
"LSM2",0.0862659143142988,0.71377800763354,0.920774462297847,230.24697,129.36254,0.366786862877887
"ATRRP4",-0.3286732825428,0.214432490408699,0.608515934612185,85.71905,175.21796,-1.24146914293635
"ATATG18G",0.420014062878925,0.197114405409679,0.592669856777551,57.68541,100.75958,1.28981642011069
"2A6",-1.50264586475144,0.00508534770327445,0.119206999859554,99.07491,187.82433,-2.80157716946943
"AHP5",0.199219381244099,0.444845767515467,0.792814845138138,121.95384,22.32812,0.76403603701023
"BSU1",-2.96105329098126,0.181178031715247,0.574811222757414,0,2.0604868,-1.337136662706
"ATBRN2",-0.0480031145366669,0.909298943475127,0.981831147540181,178.24036,102.28066,-0.113922860511772
"NET3A",0.686684952838737,0.194931553921824,0.590375214713774,20.16087,20.01038,1.29612752360702
"ATCPO-I",-0.330697680327573,0.0364148080062601,0.293260637574203,25.979498,31.97245,-2.09226509816637
"ATNAF1",-0.222226966907869,0.579010375868758,0.862550756586276,47.41085,149.23212,-0.55483083224625
"ATSCAMP4",0.268911146446343,0.578921797871375,0.862550756586276,41.6952,49.72387,0.554960325578982
"PSB27",1.93730064459649,0.0129972233448361,0.181250006499676,15.0115638,4.480222,2.4838453658242
