"SYMBOL","log2FC","pVal","pAdj","sdSF","sdGC","sTat"
"ANAC001",0.448871539681652,0.373259800753335,0.842780921110835,131.02639,60.93219,0.890383869425474
"ARV1",0.149870779113744,0.462914818365793,0.881931868211716,224.86342,10.83853,0.734055655798414
"NGA3",0.00300149821160057,0.994973822749939,1,53.02986,13.70097,0.00629942066691127
"ASU1",-0.33158797629493,0.324627529800344,0.81439370657357,37.574434,25.79186,-0.984992958419423
"ATPPA1",0.141036783250589,0.459505906237745,0.881498678239528,317.0954,163.811,0.739660689956654
"LHY",-2.65241797877299,0.000966748361983527,0.124457342696308,49.554994,160.531015,-3.30002900538958
"UMAMIT28",-0.648977991764226,0.32255605728201,0.813783644562411,108.102,345.2469,-0.989218891742438
"PDH-E1",-0.00733191943217988,0.980064141053858,1,545.2182,519.0724,-0.0249884941859201
"RPP1.1",-0.228423706810154,0.261282220200956,0.777895714424145,1461.12521,2222.79986,-1.12336567834415
"IQD18",-0.514525078481864,0.0915988219267703,0.57958476909769,64.51815,150.65292,-1.68702355939074
"KCS1",-2.27449190950929,0.0110634724119261,0.304041653526222,6.089311,98.156124,-2.54068759701328
"CIPK9",1.53025472440636,0.0531319450715631,0.497891528012953,73.30479,17.200289,1.93384697612536
"GIF2",-0.0468401689772094,0.809439003164671,0.976756089846819,30.92757,258.67109,-0.241149817345863
"CYP78A8",-0.834176808827146,0.702059772518101,0.954579899827305,4.6824841,8.0331116,-0.38254147330048
"ATRAB-A3",-0.096697777922529,0.902618677553044,0.991162179536923,8.035524,17.857617,-0.122353987173642
"ATFKGP",-0.623821881467786,0.0830143912109479,0.569230417130684,41.345422,20.646319,-1.73345746596555
"ATORM1",0.232718519974451,0.208873822146705,0.736375019384005,75.15804,51.05054,1.25666816012835
"BHLH013",-0.212478080511424,0.554416568261332,0.912435451642164,75.792681,19.257635,-0.591155004037177
"CNX3",-0.0863630649997798,0.737567081386365,0.964583540803887,64.86185,80.12514,-0.335076895167814
"REC1",-0.496948490312373,0.197754991075788,0.72443173221327,50.85613,86.16189,-1.28797406571796
"ACBK1",-0.289419553270557,0.783213632544388,0.972370673521106,5.645814,26.902991,-0.275133555392709
"PYL9",-0.149485356257559,0.622393742939494,0.934064492015576,140.15757,161.50676,-0.492460636019204
"CENH3",-0.382940704231438,0.255330572359512,0.77249894511712,70.8282,67.33427,-1.13749701351148
"ETC1",0.271294503320266,0.762375296966072,0.969182486646079,31.329111,11.151386,0.302363079031171
"MOAT3",0.243681032141032,0.472761061601622,0.886004577905231,71.8035,61.14515,0.717993877963703
"ATLEA14",0.944170195697687,0.173914629532275,0.694392433502316,350.741,94.67815,1.35973237371772
"ACS2",2.13830290068532,0.128806485605554,0.636670563858286,24.679001,6.396938,1.51882526106822
"AN",-0.332684907710858,0.289911703938328,0.794803457923253,329.67263,63.45064,-1.05831533501373
"ASG4",1.24223782532788,0.396393098902958,0.852290480472529,5.8883985,1.8577446,0.848080574941504
"BPS1",0.169098955730798,0.531980072005163,0.906703504010675,506.75612,388.54771,0.624986266085946
"ATMPK11",6.71500263410313,0.000224534409083162,0.0592958533517974,19.7061331,0,3.68968215500606
"ATFRO2",1.06025223123652,0.40288451228821,0.854294236896148,156.6071,14.70184,0.836480731321865
